name,description,maker,trademark
Pan Lino Bimbo  X 380 Grs,Pan Lino Bimbo  X 380 Grs,,Bimbo
Jugo Ades Ananá 1 L,Jugo Ades Ananá 1 L,The Coca-Cola Company,Ades 
Queso Crema Tregar - Light X 200Grs,Queso Crema Tregar - Light X 200Grs,,Tregar
Vino Suc. Abel Michel Torino Tinto,Vino Fino Abel Michel Torino Tinto Botella 700  Cc,Suc. Abel Michel Torino,Suc. Abel Michel Torino
Aderezo Mayonesa Mayoliva 1 Kg,Aderezo Mayonesa Mayoliva 1 Kg,,Mayoliva
Jugo De Limón Minerva 250 Ml,Jugo De Limón Minerva 250 Ml,,Minerva
Cerveza Schneider 355 mL,Cerveza Schneider 355 mL,Cerveza Schneider,Schneider
 Agua Saborizada H2Oh!  Sabor Lima Limón Con Gas 2.25 L,Agua Saborizada H2Oh!  Sabor Lima Limón Con Gas 2.25 L,Grupo Gepp,H2Oh!
Agua Sin Gas Kin Baja en Sodio 2.25 L,Agua Sin Gas Kin Baja en Sodio 2.25 L,The Coca-Cola Company,Kin
Vino Fca Flichman Paisaje De Tupungato Tinto  Bot 750 Cc.,Vino Fca Flichman Paisaje De Tupungato Tinto  Bot 750 Cc.,Finca Flichman,Finca Flichman
Agua Sierra de Los Padres 6.5 L,Agua Sierra de Los Padres 6.5 L,Sierra de Los Padres,Sierra de Los Padres
Agua  Kin Bajo Sodio Sin Gas 500 mL,Agua  Kin Bajo Sodio Sin Gas 500 mL,The Coca-Cola Company,Kin 
Vino Blanco Santa Julia Chardonnay 750 Cc,Vino Blanco Santa Julia Chardonnay 750 Cc,,Santa Julia
Cerveza PEÑON Del Aguila,Cerveza Peñon del Águila Negra 473 Ml,,PEÑON DEL AGUILA
Ciriola Zepellin Cebolla Y Queso,Ciriola Zepellin Cebolla Y Queso,,Sin Marca
Queso Rosenborg Azul Extra Cremoso 100 Gr,Queso Rosenborg Azul Extra Cremoso 100 Gr,,Rosenborg
Cerveza Quilmes Clásica Lata 354 Cc,Cerveza Quilmes Clásica Lata 354 Cc,,Quilmes
Salchichas Wu Rsten L Abratto Alemana 225 Gr,Salchichas Wu Rsten L Abratto Alemana 225 Gr,,L´Abratto
Leche Descremada Armonía Microfiltrada 1 L,Leche Descremada Armonía Microfiltrada 1 L,,Armonia
Vino Alma Mora Reserva Varietales X 750 Ml.,Vino Alma Mora Reserva Varietales X 750 Ml.,,Alma Mora
Oblea Chocobar Gallo Snacks 3 U,Oblea Chocobar Gallo Snacks 3 U,,Gallo
